- | [] | [20180903 13:48:37.262] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [c.m.m.util.CookieUtilTest] | --> Starting CookieUtilTest on DESKTOP-BRH4R3I with PID 10224 (started by root in C:\Users\root\Desktop\sun\millionaire-club\millionaire-client-web)|
- | [] | [20180903 13:48:37.272] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [c.m.m.util.CookieUtilTest] | --> No active profile set, falling back to default profiles: default|
- | [] | [20180903 13:48:37.400] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.c.s.GenericWebApplicationContext] | --> Refreshing org.springframework.web.context.support.GenericWebApplicationContext@2767e23c: startup date [Mon Sep 03 13:48:37 CST 2018]; root of context hierarchy|
- | [] | [20180903 13:48:40.671] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.d.r.c.RepositoryConfigurationDelegate] | --> Multiple Spring Data modules found, entering strict repository configuration mode!|
- | [] | [20180903 13:48:41.860] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker] | --> Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3e50eddc] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)|
- | [] | [20180903 13:48:45.049] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.h.SimpleUrlHandlerMapping] | --> Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]|
- | [] | [20180903 13:48:45.854] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerAdapter] | --> Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@2767e23c: startup date [Mon Sep 03 13:48:37 CST 2018]; root of context hierarchy|
- | [] | [20180903 13:48:46.073] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/upload-picture],methods=[POST]}" onto public java.lang.String com.millionaire.millionaireclientweb.controller.AliyunAPIController.test(org.springframework.web.multipart.MultipartFile) throws java.io.IOException,com.millionaire.millionairecommonapi.excepion.AliyunAPIException|
- | [] | [20180903 13:48:46.076] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/a/ID-card-upload],methods=[POST]}" onto public java.lang.String com.millionaire.millionaireclientweb.controller.AliyunAPIController.testID(org.springframework.web.multipart.MultipartFile) throws java.io.IOException,com.millionaire.millionairecommonapi.excepion.AliyunAPIException|
- | [] | [20180903 13:48:46.091] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/u/message],methods=[GET]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.getMessage(javax.servlet.http.HttpServletRequest)|
- | [] | [20180903 13:48:46.093] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/u/transaction/{id}],methods=[GET]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.findById(java.lang.Long)|
- | [] | [20180903 13:48:46.096] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/u/message/{id}],methods=[GET]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.getMessagePlatform(java.lang.Long)|
- | [] | [20180903 13:48:46.099] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/u/authentication],methods=[PUT]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.updateAuthentication(com.alibaba.fastjson.JSONObject,javax.servlet.http.HttpServletRequest)|
- | [] | [20180903 13:48:46.099] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/u/investments],methods=[GET]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.getUserInvestments(java.lang.Byte,javax.servlet.http.HttpServletRequest)|
- | [] | [20180903 13:48:46.100] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/u/transaction],methods=[GET]}" onto public com.millionaire.millionaireclientweb.result.ResultBean com.millionaire.millionaireclientweb.controller.SunController.findAll(javax.servlet.http.HttpServletRequest)|
